Rank,asn_v4,AS_Name,CC,Users,country_pct,Internet_pct,Samples
3260,"AS19165","WEBPASS - Webpass Inc.","US",34804,0.01,0.0010,8769
3261,"AS47796","BERELIANNET","IR",34803,0.09,0.0010,1980
3262,"AS47975","KT-AS-47975","AM",34770,2.37,0.0010,8930
3263,"AS262715","Caezar Provedor de Internet LTDA","BR",34755,0.02,0.0010,3357
3264,"AS262488","Minasnet Servios de Provedor de Internet Ltda","BR",34755,0.02,0.0010,3357
3265,"AS3855","LOGIC-3855 - Internet Bermuda Limited","BM",34750,58.63,0.0010,15447
3266,"AS55461","SUNINFO-MDC Beijing Sun Rise Technology CO.,LTD","CN",34714,0.00,0.0010,1166
3267,"AS264215","Wlenet Informtica manuteno","BR",34714,0.02,0.0010,3353
3268,"AS28233","I-CONECTA REDES DE TELECOMUNICACAO LTDA EPP","BR",34703,0.02,0.0010,3352
3269,"AS18390","SPIN-INTERNET-AP Spin Internet Service","AU",34673,0.16,0.0010,2743
3270,"AS262729","Telemidia Sistema de Telecomunicacao Ltda","BR",34662,0.02,0.0010,3348
3271,"AS41911","LANETUA2-AS","UA",34642,0.18,0.0010,7503
3272,"AS48940","LINK-AS","RU",34615,0.03,0.0010,4882
3273,"AS201701","FFRL-AS","DE",34608,0.05,0.0010,2149
3274,"AS58766","VOIP-AS-IN VOIP COMMUNICATIONS PVT LTD","IN",34605,0.01,0.0010,4845
3275,"AS23901","HARMANCONNECTED-AS-AP HARMAN CONNECTED SERVICES CORPORATION INDIA PRIVATE LIMITED","IN",34583,0.01,0.0010,4842
3276,"AS262606","UNICA TECNOLOGY LTDA","BR",34559,0.02,0.0010,3338
3277,"AS12231","CONWAYCORP - Conway Corporation","US",34558,0.01,0.0010,8707
3278,"AS136450","KASTECH-AS-AP Kastech Computer Valley","BD",34507,0.16,0.0010,5037
3279,"AS56377","MGSK-AS","RU",34501,0.03,0.0010,4866
3280,"AS51653","PRESNET-AS","SK",34466,0.77,0.0010,4199
3281,"AS50670","VTEL","JO",34423,0.75,0.0010,5747
3282,"AS132944","ECLERX-AS-IN eClerx Services Limited","IN",34419,0.01,0.0010,4819
3283,"AS263945","PROVENET - J ROBERTO CAVALCANTE - ME","BR",34403,0.02,0.0010,3323
3284,"AS15511","LB-ICONNECT","LB",34379,0.74,0.0010,5754
3285,"AS9119","SOFTNET-AS Internet Service Provider in Slovenia and South Europe region","SI",34373,2.29,0.0010,13419
3286,"AS24626","TTKNN-AS","RU",34352,0.03,0.0010,4845
3287,"AS134027","SAMSUNG-AS SAMSUNG DATA SYSTEMS INDIA PRIVATE LIMITED","IN",34312,0.01,0.0010,4804
3288,"AS25605","SCANSAFE - SCANSAFE SERVICES LLC","GB",34306,0.06,0.0010,4189
3289,"AS52525","INPASUPRI - Com. de Suprimentos pInf. Ltda","BR",34300,0.02,0.0010,3313
3290,"AS34177","CELESTE-AS CELESTE - Internet services provider","FR",34299,0.06,0.0010,4781
3291,"AS3479","PEACHNET-AS1 - Kennesaw State University","US",34261,0.01,0.0010,8632
3292,"AS26344","REALPAGE-INC - Real Page, Inc.","IN",34255,0.01,0.0010,4796
3293,"AS51265","MASSRESPONSE-AS2","AT",34240,0.48,0.0010,2418
3294,"AS136724","PRACNETW-AS Praction Networks Pvt Ltd","IN",34233,0.01,0.0010,4793
3295,"AS9129","KE-NET2000","KE",34225,0.15,0.0010,910
3296,"AS2687","ATGS-MMD-AS - ATT Global Network Services, LLC","JP",34166,0.03,0.0010,2068
3297,"AS52822","R e R Informatica LTDA","BR",34144,0.02,0.0010,3298
3298,"AS13855","CFU-NET - The Municipal Communications Utility of the City of Cedar Falls, Iowa","US",34138,0.01,0.0010,8601
3299,"AS61937","Oquei Solues em TI","BR",34134,0.02,0.0010,3297
3300,"AS34781","SIL-CITYCABLE-AS","CH",34128,0.46,0.0010,2763
3301,"AS52683","HiperNET Servico de Comunicacao LTDA ME","BR",34124,0.02,0.0010,3296
3302,"AS49368","DOMOLAN-AS","RU",34118,0.03,0.0010,4812
3303,"AS136994","SOUTHERNPHONE-AS-AP Southern Phone Company Ltd","AU",34104,0.16,0.0010,2698
3304,"AS263033","LINXBR TELECOMUNICACOES LTDA","BR",34072,0.02,0.0010,3291
3305,"AS266302","RENOVENET TELECOMUNICACOES LTDA - ME","BR",34062,0.02,0.0010,3290
3306,"AS3480","PEACHNET-AS2 - Kennesaw State University","US",34058,0.01,0.0010,8581
3307,"AS263725","MULTICABLE DE HONDURAS","HN",34030,1.66,0.0010,7447
3308,"AS135139","","IN",34005,0.01,0.0010,4761
3309,"AS205272","MCAFEE-CSP","DE",33996,0.05,0.0010,2111
3310,"AS263864","CLIC RAPIDO EIRELI","BR",33989,0.02,0.0010,3283
3311,"AS205254","VALEEN","IQ",33983,0.65,0.0010,15998
3312,"AS263917","Nossarede Telecom LTDA ME","BR",33979,0.02,0.0010,3282
3313,"AS28280","A. P. OLIVEIRA  CIA. INFORMATICA LTDA.","BR",33979,0.02,0.0010,3282
3314,"AS55507","TEJAYS-AS Tejays Dynamic Limited","IN",33976,0.01,0.0010,4757
3315,"AS266136","R. P. DE B. ALVES SERVICOS E TELECOMUNICACOES - ME","BR",33948,0.02,0.0010,3279
3316,"AS53175","Unetvale Servicos e Equipamentos LTDA","BR",33948,0.02,0.0010,3279
3317,"AS328404","","ZA",33943,0.11,0.0010,807
3318,"AS22869","CABLECOLOR S.A.","GT",33924,0.73,0.0010,3464
3319,"AS53164","UNIVERSIDADE FEDERAL DA BAHIA","BR",33896,0.02,0.0010,3274
3320,"AS205640","AS-TNET --------------UZTELECOM--------------","UZ",33887,0.20,0.0010,475
3321,"AS3379","KAISER-NCAL - Kaiser Foundation Health Plan","US",33880,0.01,0.0010,8536
3322,"AS59713","ERTH-KURSK-AS","RU",33863,0.03,0.0010,4776
3323,"AS12128","ITS-HYDERABAD - Thomson Reuters U.S. LLC","IN",33848,0.01,0.0010,4739
3324,"AS40945","SATTEL - SAT TELECOMMUNICATIONS LTD","DM",33848,68.63,0.0010,9215
